"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"1","Ryan Griffin (NYJ)","5","5","109","21.8","45","2","1","0","0","0","0","1","16.9","16.9","1.0%"
"2","Travis Kelce (KC)","7","10","92","13.1","31","2","1","0","0","0","0","1","15.2","15.2","100.0%"
"3","Mark Andrews (BAL)","4","4","75","18.8","51","1","1","0","0","0","0","1","13.5","13.5","100.0%"
"4","Ross Dwelley (SF)","4","5","14","3.5","5","0","2","0","0","0","0","1","13.4","13.4","0.0%"
"5","Kyle Rudolph (MIN)","5","5","67","13.4","32","1","1","0","0","0","0","1","12.7","12.7","18.0%"
"6","Dallas Goedert (PHI)","3","6","36","12.0","21","1","1","0","0","0","0","1","9.6","9.6","76.0%"
"7","Zach Ertz (PHI)","9","11","94","10.4","25","2","0","0","0","0","0","1","9.4","9.4","99.0%"
"8","Jared Cook (NO)","2","2","33","16.5","30","1","1","0","0","0","0","1","9.3","9.3","97.0%"
"9","Dawson Knox (BUF)","2","3","32","16.0","23","1","1","0","0","0","0","1","9.2","9.2","12.0%"
"10","Hunter Henry (LAC)","6","9","69","11.5","16","0","0","0","0","0","0","1","8.9","8.9","98.0%"
"11","Daniel Brown (NYJ)","1","1","20","20.0","20","1","1","0","0","0","0","1","8.0","8.0","0.0%"
"12","Irv Smith Jr. (MIN)","3","3","20","6.7","10","0","1","0","0","0","0","1","8.0","8.0","34.0%"
"13","Jeremy Sprinkle (WAS)","2","3","16","8.0","15","0","1","0","0","0","0","1","7.6","7.6","0.0%"
"14","Darren Waller (LV)","5","7","78","15.6","32","2","0","1","-2","0","0","1","7.6","7.6","99.0%"
"15","Cameron Brate (TB)","10","14","73","7.3","12","0","0","0","0","0","0","1","7.3","7.3","2.0%"
"16","Foster Moreau (LV)","2","2","8","4.0","6","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"17","Stephen Carlson (CLE)","1","1","8","8.0","8","0","1","0","0","0","0","1","6.8","6.8","0.0%"
"18","Troy Fumagalli (DEN)","1","3","3","3.0","3","0","1","0","0","0","0","1","6.3","6.3","0.0%"
"19","Greg Olsen (SEA)","5","5","57","11.4","26","1","0","0","0","0","0","1","5.7","5.7","42.0%"
"20","Noah Fant (DEN)","4","10","60","15.0","31","1","0","2","-7","0","0","1","5.3","5.3","83.0%"
"21","Benjamin Watson (FA)","3","4","52","17.3","22","1","0","0","0","0","0","1","5.2","5.2","2.0%"
"22","Blake Jarwin (DAL)","2","2","38","19.0","23","1","0","0","0","0","0","1","3.8","3.8","51.0%"
"23","Jason Witten (LV)","5","7","33","6.6","11","0","0","0","0","0","0","1","3.3","3.3","4.0%"
"24","Vance McDonald (PIT)","3","7","33","11.0","22","1","0","0","0","0","0","1","3.3","3.3","3.0%"
"25","Tyler Conklin (MIN)","2","3","28","14.0","20","1","0","0","0","0","0","1","2.8","2.8","0.0%"
"26","Eric Ebron (PIT)","4","4","27","6.8","14","0","0","0","0","0","0","1","2.7","2.7","52.0%"
"27","Jaeden Graham (ATL)","2","2","23","11.5","12","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"28","Tyler Eifert (JAC)","3","4","21","7.0","18","0","0","0","0","0","0","1","2.1","2.1","6.0%"
"29","Nick Boyle (BAL)","2","3","20","10.0","13","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"30","Gerald Everett (LAR)","1","1","20","20.0","20","1","0","0","0","0","0","1","2.0","2.0","11.0%"
"31","Mike Gesicki (MIA)","4","6","18","4.5","10","0","0","0","0","0","0","1","1.8","1.8","81.0%"
"32","Darren Fells (HOU)","1","3","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","3.0%"
"33","Hayden Hurst (ATL)","2","2","16","8.0","12","0","0","0","0","0","0","1","1.6","1.6","89.0%"
"34","Jordan Akins (HOU)","1","2","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","1.0%"
"35","Ben Koyack (FA)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"36","Josh Hill (NO)","2","2","8","4.0","5","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"37","Virgil Green (LAC)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"38","Ben Braunecker (FA)","1","3","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"39","Nick Vannett (DEN)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"40","T.J. Hockenson (DET)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","80.0%"
"41","Tyler Kroft (BUF)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"42","C.J. Uzomah (CIN)","2","5","5","2.5","3","0","0","0","0","0","0","1","0.5","0.5","1.0%"
"43","Josh Oliver (JAC)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"44","Darrell Daniels (ARI)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"45","Matt LaCosse (NE)","2","2","3","1.5","7","0","0","0","0","0","0","1","0.3","0.3","0.0%"
"46","Dax Raymond (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"47","Kevin Radar (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Tanner Hudson (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"49","Deon Yelder (KC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"50","Jordan Franks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Marcus Baugh (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Matt Sokol (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Durham Smythe (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"54","Chris Herndon IV (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.0%"
"55","Ryan Izzo (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Dylan Cantrell (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Donald Parham (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Carson Meier (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Hale Hentges (WAS)","1","3","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Brandon Dillon (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Kendall Blanton (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Jesper Horsted (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Drew Sample (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Trevon Wesco (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"66","Daniel Helm (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Charles Scarff (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"69","Isaac Nauta (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Zach Gentry (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Caleb Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Jace Sternberger (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.0%"
"73","Kahale Warring (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Tommy Sweeney (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Codey McElroy (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Jakob Johnson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Will Dissly (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0%"
"78","Nick Keizer (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Kaden Smith (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"80","John Lovett (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Garrett Dickerson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"82","Albert Okwuegbunam (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"83","Austin Fort (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Adam Shaheen (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Jason Vander Laan (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"86","O.J. Howard (TB)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","34.0%"
"87","David Njoku (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"88","Evan Engram (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.0%"
"89","Jake Butt (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Jonnu Smith (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.0%"
"91","George Kittle (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100.0%"
"92","Antony Auclair (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Robert Tonyan (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Cole Hikutini (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Jacob Hollister (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"96","Mason Schreck (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Cethan Carter (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"98","J.P. Holtz (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"99","Alex Ellis (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Garrett Griffin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Cole Wick (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Joshua Perkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Mo Alie-Cox (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"104","Colin Thompson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Taysom Hill (NO)","1","1","2","2.0","2","0","0","1","2","0","0","1","0.0","0.0","3.0%"
"106","Dan Arnold (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"107","Dalton Schultz (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"108","Ian Thomas (CAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","31.0%"
"109","Jordan Thomas (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Eric Saubert (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Ricky Seals-Jones (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"112","Johnny Mundt (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"113","Jason Croom (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Anthony Firkser (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Evan Baylis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
